name,time,RSSI,battery,gravity,interval,source,temp_units,temperature,tilt
measurements,1544191248245295531,-81,3.58707,26.84108,1,iSpindel000,C,26.6875,76.69387
measurements,1544191252854750101,-81,3.592284,26.83533,120,iSpindel000,C,26.625,76.68258
measurements,1544191364099296669,-82,3.592284,2.663008,120,iSpindel000,C,26.125,30.53138
measurements,1544191481111429917,-77,3.597497,26.11846,120,iSpindel000,C,25.375,75.27665
measurements,1544191599071700377,-83,3.597497,26.11394,120,iSpindel000,C,24.625,75.26781
measurements,1544191717240184163,-78,3.597497,28.85914,120,iSpindel000,C,23.9375,80.66473
measurements,1544191835637105219,-73,3.602711,8.635139,120,iSpindel000,C,23.4375,41.70244
measurements,1544191953885371023,-71,3.597497,3.029257,120,iSpindel000,C,23.4375,31.21232
measurements,1544192072363432926,-71,3.597497,3.031086,120,iSpindel000,C,23.3125,31.21572
measurements,1544192190836468083,-71,3.597497,3.032253,120,iSpindel000,C,23.0625,31.21789
measurements,1544192307271208741,-70,3.597497,3.006684,120,iSpindel000,C,22.75,31.17034
measurements,1544192426872444412,-70,3.597497,2.996091,120,iSpindel000,C,22.4375,31.15063
measurements,1544192545254574972,-70,3.597497,2.975371,120,iSpindel000,C,22.125,31.1121
measurements,1544192663623546354,-69,3.597497,2.968356,120,iSpindel000,C,21.875,31.09905
measurements,1544192782001426795,-71,3.597497,2.963364,120,iSpindel000,C,21.6875,31.08977
measurements,1544192900612477995,-69,3.597497,2.96483,120,iSpindel000,C,21.5,31.0925
measurements,1544193019068801302,-71,3.597497,2.318505,120,iSpindel000,C,21.3125,29.89136
measurements,1544193135620760400,-69,3.597497,2.327825,120,iSpindel000,C,21.1875,29.90867
measurements,1544193255285299809,-69,3.597497,2.315011,120,iSpindel000,C,21.0625,29.88487
measurements,1544193375810747031,-69,3.597497,2.334002,120,iSpindel000,C,20.9375,29.92014
measurements,1544193494599672155,-68,3.597497,2.321511,120,iSpindel000,C,20.875,29.89694
measurements,1544193610715718080,-67,3.597497,2.315219,120,iSpindel000,C,20.75,29.88526
measurements,1544193728644676975,-67,3.597497,2.31279,120,iSpindel000,C,20.6875,29.88075
measurements,1544193848203669493,-68,3.597497,2.311753,120,iSpindel000,C,20.5625,29.87882
measurements,1544193964811657996,-69,3.597497,2.293528,120,iSpindel000,C,20.5,29.84498
measurements,1544194084536475724,-68,3.597497,2.319289,120,iSpindel000,C,20.4375,29.89282
measurements,1544194201051552854,-68,3.597497,2.313234,120,iSpindel000,C,20.4375,29.88157
measurements,1544194318920741576,-71,3.597497,2.824317,120,iSpindel000,C,20.4375,30.83122
measurements,1544194438620600232,-71,3.597497,2.855148,120,iSpindel000,C,20.4375,30.88855
measurements,1544194555159109731,-70,3.592284,2.844413,120,iSpindel000,C,20.4375,30.86859
measurements,1544194673035508910,-71,3.597497,2.852289,120,iSpindel000,C,20.375,30.88323
measurements,1544194792618378618,-71,3.597497,2.847024,120,iSpindel000,C,20.3125,30.87344
measurements,1544194909250301185,-70,3.597497,2.847327,120,iSpindel000,C,20.3125,30.874
measurements,1544195028956622076,-76,3.597497,-3.010532,120,iSpindel000,C,20.25,20.05044
measurements,1544195147441156259,-76,3.597497,-3.001134,120,iSpindel000,C,20.1875,20.0677
measurements,1544195266014784049,-76,3.597497,-3.015616,120,iSpindel000,C,20.0625,20.0411
measurements,1544195384388479041,-78,3.597497,-3.037779,120,iSpindel000,C,19.9375,20.00041
measurements,1544195502872185980,-76,3.592284,-3.026301,120,iSpindel000,C,19.8125,20.02148
measurements,1544195621357674147,-80,3.597497,0.022618,120,iSpindel000,C,19.75,25.63803
measurements,1544195739850526686,-79,3.597497,0.029336,120,iSpindel000,C,19.6875,25.65045
measurements,1544195858422836064,-77,3.597497,0.021654,120,iSpindel000,C,19.625,25.63625
measurements,1544195976772047216,-77,3.597497,0.036448,120,iSpindel000,C,19.5625,25.66359
measurements,1544196093327391439,-76,3.597497,0.03577,120,iSpindel000,C,19.5,25.66234
measurements,1544196213010427641,-78,3.597497,0.025934,120,iSpindel000,C,19.4375,25.64416
measurements,1544196331614509062,-78,3.597497,0.031251,120,iSpindel000,C,19.4375,25.65399
measurements,1544196450168126280,-77,3.597497,0.043814,120,iSpindel000,C,19.375,25.6772
measurements,1544196568777298076,-76,3.597497,0.042883,120,iSpindel000,C,19.375,25.67548
measurements,1544196687278537433,-76,3.597497,0.055857,120,iSpindel000,C,19.3125,25.69946
measurements,1544196805910832528,-77,3.597497,0.045851,120,iSpindel000,C,19.3125,25.68097
measurements,1544196924322677349,-80,3.592284,0.027698,120,iSpindel000,C,19.3125,25.64742
measurements,1544197042825391994,-77,3.592284,0.056216,120,iSpindel000,C,19.3125,25.70012
measurements,1544197161414084456,-80,3.592284,0.182955,120,iSpindel000,C,19.3125,25.9344
measurements,1544197280138160564,-78,3.597497,0.172053,120,iSpindel000,C,19.25,25.91424
measurements,1544197398697937165,-78,3.597497,0.173112,120,iSpindel000,C,19.25,25.9162
measurements,1544197517207615241,-79,3.597497,0.173931,120,iSpindel000,C,19.25,25.91771
measurements,1544197635868061928,-78,3.597497,0.180783,120,iSpindel000,C,19.25,25.93038
measurements,1544197754506781832,-79,3.597497,0.185401,120,iSpindel000,C,19.25,25.93892
measurements,1544197874186660825,-77,3.597497,0.169851,120,iSpindel000,C,19.25,25.91017
measurements,1544197995289595576,-77,3.597497,0.18265,120,iSpindel000,C,19.25,25.93383
measurements,1544198114094822423,-76,3.597497,0.206881,120,iSpindel000,C,19.25,25.97863
measurements,1544198236336588255,-78,3.597497,0.21672,120,iSpindel000,C,19.3125,25.99682
measurements,1544198355738701844,-76,3.597497,0.230806,120,iSpindel000,C,19.3125,26.02286
measurements,1544198475598815359,-76,3.597497,0.215945,120,iSpindel000,C,19.3125,25.99539
measurements,1544198595494087325,-76,3.592284,0.241661,120,iSpindel000,C,19.3125,26.04293
measurements,1544198715364941107,-76,3.592284,0.256162,120,iSpindel000,C,19.3125,26.06974
measurements,1544198835429056396,-76,3.592284,0.233712,120,iSpindel000,C,19.3125,26.02824
measurements,1544198953572944295,-79,3.597497,0.243224,120,iSpindel000,C,19.375,26.04582
measurements,1544199076120096154,-78,3.597497,0.238669,120,iSpindel000,C,19.3125,26.0374
measurements,1544199195114088429,-78,3.597497,0.231922,120,iSpindel000,C,19.375,26.02493
measurements,1544199313313172604,-76,3.592284,0.23001,120,iSpindel000,C,19.375,26.02139
measurements,1544199433629196095,-77,3.592284,0.242547,120,iSpindel000,C,19.375,26.04457
measurements,1544199551499844908,-76,3.597497,0.235532,120,iSpindel000,C,19.375,26.0316
measurements,1544199670036747028,-79,3.592284,0.253202,120,iSpindel000,C,19.375,26.06427
measurements,1544199788636481323,-77,3.597497,0.236555,120,iSpindel000,C,19.3125,26.03349
measurements,1544199907112097684,-76,3.597497,0.231297,120,iSpindel000,C,19.3125,26.02377
measurements,1544200025569052297,-78,3.592284,0.244164,120,iSpindel000,C,19.3125,26.04756
measurements,1544200141992427807,-77,3.592284,0.293586,120,iSpindel000,C,19.3125,26.13894
measurements,1544200261697920238,-77,3.592284,0.27981,120,iSpindel000,C,19.3125,26.11347
measurements,1544200380391111510,-76,3.597497,0.28837,120,iSpindel000,C,19.3125,26.1293
measurements,1544200498773550558,-76,3.597497,0.279011,120,iSpindel000,C,19.3125,26.11199
measurements,1544200617438739017,-78,3.592284,0.264355,120,iSpindel000,C,19.3125,26.08489
measurements,1544200735917251905,-78,3.597497,0.280955,120,iSpindel000,C,19.3125,26.11559
measurements,1544200854652248883,-80,3.592284,0.252425,120,iSpindel000,C,19.3125,26.06284
measurements,1544200973168084899,-76,3.597497,0.274258,120,iSpindel000,C,19.3125,26.1032
measurements,1544201091984126350,-80,3.592284,0.27238,120,iSpindel000,C,19.3125,26.09973
measurements,1544201210436454320,-81,3.592284,0.269641,120,iSpindel000,C,19.3125,26.09467
measurements,1544201329181672619,-80,3.592284,0.261721,120,iSpindel000,C,19.3125,26.08002
measurements,1544201447867921964,-78,3.592284,0.274229,120,iSpindel000,C,19.3125,26.10315
measurements,1544201566541361301,-79,3.592284,0.277141,120,iSpindel000,C,19.3125,26.10854
measurements,1544201684967058010,-78,3.592284,0.312296,120,iSpindel000,C,19.3125,26.17354
measurements,1544201803807850953,-76,3.597497,0.306149,120,iSpindel000,C,19.3125,26.16217
measurements,1544201922750118950,-74,3.597497,0.310809,120,iSpindel000,C,19.3125,26.17079
measurements,1544202041403285537,-77,3.576642,0.314797,120,iSpindel000,C,19.3125,26.17817
measurements,1544202161062156680,-76,3.592284,0.308108,120,iSpindel000,C,19.3125,26.1658
measurements,1544202281119517478,-74,3.592284,0.306099,120,iSpindel000,C,19.3125,26.16208
measurements,1544202399428953840,-75,3.592284,0.318047,120,iSpindel000,C,19.3125,26.18418
measurements,1544202640031606170,-77,3.592284,0.302892,120,iSpindel000,C,19.3125,26.15615
measurements,1544202756047773543,-72,3.592284,9.743238,120,iSpindel000,C,19.625,43.79123
measurements,1544202875751989306,-72,3.592284,-3.537125,120,iSpindel000,C,19.875,19.08398
measurements,1544202994328839876,-71,3.592284,-3.545548,120,iSpindel000,C,20,19.06853
measurements,1544203111047088428,-74,3.576642,-3.553718,120,iSpindel000,C,20,19.05354
measurements,1544203230669398821,-73,3.592284,-3.555501,120,iSpindel000,C,20,19.05027
measurements,1544203349427864713,-73,3.592284,-3.557973,120,iSpindel000,C,19.9375,19.04574
measurements,1544203466240708015,-74,3.592284,-3.535738,120,iSpindel000,C,19.9375,19.08652
measurements,1544203583780193663,-73,3.592284,-3.534906,120,iSpindel000,C,19.875,19.08805
measurements,1544203703266900497,-72,3.592284,-3.529737,120,iSpindel000,C,19.8125,19.09753
measurements,1544203821848079165,-72,3.592284,-3.527833,120,iSpindel000,C,19.75,19.10102
measurements,1544203938363450439,-72,3.592284,-3.523544,120,iSpindel000,C,19.6875,19.10889
measurements,1544204056135690180,-73,3.592284,-3.520749,120,iSpindel000,C,19.625,19.11402
measurements,1544204175723478701,-72,3.592284,-3.521473,120,iSpindel000,C,19.625,19.11269
measurements,1544204295421319262,-73,3.592284,-3.51506,120,iSpindel000,C,19.5625,19.12445
measurements,1544204414772386925,-72,3.592284,-3.525579,120,iSpindel000,C,19.5625,19.10516
measurements,1544204536341833536,-73,3.592284,-3.508009,120,iSpindel000,C,19.5625,19.13739
measurements,1544204653943073249,-72,3.592284,-3.528916,120,iSpindel000,C,19.5625,19.09904
measurements,1544204772710829949,-72,3.592284,-3.521099,120,iSpindel000,C,19.5625,19.11338
measurements,1544204891315072532,-72,3.592284,-3.518458,120,iSpindel000,C,19.5,19.11822
measurements,1544205009783917860,-72,3.592284,-3.498118,120,iSpindel000,C,19.5,19.15553
measurements,1544205128385703093,-75,3.592284,-3.532755,120,iSpindel000,C,19.5,19.092
measurements,1544205246862380522,-71,3.592284,-3.506018,120,iSpindel000,C,19.4375,19.14104
measurements,1544205365328358477,-72,3.592284,-3.535786,120,iSpindel000,C,19.4375,19.08644
